tzick002,,6,5,154,19738,155,5,0,1,21,21,68634,1,1,0,0,0,2,0,256,2013,0,1,0,0,0,0,0,32747,0,1
vchio001,,2,0,149,15437,4,1,0,0,0,0,64499,0,0,0,0,0,1,0,186,2013,0,1,0,0,0,0,0,32730,0,1
vgarc018,,6,0,163,19603,142,8,3,1,1,1,69388,3,10,0,0,1,3,0,256,2014,0,1,0,0,0,1,0,33062,0,1
vhall001,,2,0,149,15275,5,2,0,0,1,1,64422,0,0,0,0,1,1,0,186,2015,0,1,0,0,0,1,0,32881,0,1
wfink001,,4,0,293,17560,19,2,2,0,2,2,22252,0,0,0,0,1,3,0,218,2013,1217,1,0,0,0,0,0,35047,0,0
wlee030,,6,2,156,19746,286,5,5,0,20,20,23810,0,0,0,0,0,4,0,250,2015,1371,1,0,0,0,0,0,37795,0,0
yli066,,2,4,149,15346,13,2,0,1,36,36,64486,0,0,0,0,1,1,0,192,2015,0,1,0,0,0,1,0,36382,1946,0
yliu075,,3,0,151,16581,68,5,0,1,26,26,22697,1,1,0,0,1,2,0,208,2013,4548,411,0,1242,0,0,343,94979,905,0
yliu127,,7,0,152,19895,149,6,3,0,22,22,23776,0,0,0,0,0,2,0,266,2014,0,1,0,0,0,1,0,32863,0,1

